route_id,country,route_name,route_type,cities,recommended_nights,min_days,max_days,budget_level,fatigue_level,best_months,avoid_months,interests,region,why_route_fits,watch_out
PT001,Portugal,Lisbon Porto Classic,single_country_multi_city,"Lisbon,Porto,Coimbra",7,5,10,moderate,low,"4,5,6,9,10","7,8","city,food,history,culture",Southern Europe,"Perfect introduction to Portugal with two major cities and historic university town. Efficient train connections.","Summer (July-August) very hot and crowded. Book Porto accommodation early for peak season."
PT002,Portugal,Lisbon Day Trips,single_country_one_city,"Lisbon,Sintra,Cascais",5,4,7,moderate,low,"3,4,5,6,9,10","7,8","city,history,nature,palaces",Southern Europe,"Lisbon base with easy day trips to Sintra palaces and Cascais beaches. Low fatigue with return to same hotel.","Sintra can be foggy. Start early to avoid crowds at Pena Palace."
PT003,Portugal,Porto Wine Route,single_country_multi_city,"Porto,Douro Valley,Braga",6,5,9,moderate,medium,"5,6,9,10","7,8,12,1,2","wine,food,nature,history",Southern Europe,"Porto city plus Douro Valley wine region and historic Braga. Mix of urban and rural.","Douro Valley requires car or tour. Wine tastings add up cost-wise."
GR001,Greece,Athens Islands Combo,single_country_multi_city,"Athens,Naxos,Crete",10,8,14,moderate,medium,"5,6,9,10","7,8","history,beach,food,culture",Southern Europe,"Classic Greece combining ancient Athens with island hopping. Naxos less touristy than Santorini.","Ferry schedules vary by season. Book ferries in advance for summer. Island hopping adds fatigue."
GR002,Greece,Athens Mainland,single_country_multi_city,"Athens,Delphi,Meteora",7,6,10,moderate,medium,"4,5,6,9,10","7,8,12,1,2","history,nature,culture,photography",Southern Europe,"Mainland Greece route with ancient sites and dramatic monasteries. No ferry logistics.","Meteora requires car or organized tour. Delphi is 3h from Athens."
GR003,Greece,Thessaloniki North,single_country_multi_city,"Thessaloniki,Halkidiki,Meteora",8,6,12,moderate,medium,"5,6,9,10","7,8","city,beach,nature,history",Southern Europe,"Northern Greece alternative avoiding Athens crowds. Beach and mountains.","Less international flights to Thessaloniki. Halkidiki beaches require car."
IT001,Italy,Rome Florence Bologna,single_country_multi_city,"Rome,Florence,Bologna",8,6,12,moderate,medium,"4,5,6,9,10","7,8","history,art,food,city",Southern Europe,"Classic central Italy art cities. Fast trains make it efficient. Food capital Bologna.","Florence extremely crowded in summer. Book Uffizi and Accademia months ahead."
IT002,Italy,Naples Amalfi Coast,single_country_multi_city,"Naples,Amalfi Coast,Pompeii",7,5,10,comfortable,medium,"5,6,9,10","7,8","food,beach,history,nature",Southern Europe,"Southern Italy with authentic Naples, stunning coast, and ancient ruins.","Amalfi Coast very expensive and crowded in summer. Narrow coastal roads."
IT003,Italy,Venice Verona Lakes,single_country_multi_city,"Venice,Verona,Lake Garda",7,5,10,comfortable,low,"5,6,9,10","7,8,12,1,2","city,romance,nature,history",Southern Europe,"Northern Italy romance route. Venice canals, Verona balcony, lake scenery.","Venice expensive and crowded. Consider staying in Mestre. Lake Garda needs car."
HR001,Croatia,Zagreb Split Dubrovnik,single_country_multi_city,"Zagreb,Split,Dubrovnik",9,7,14,moderate,medium,"5,6,9,10","7,8","city,history,beach,culture",Southern Europe,"Complete Croatia from capital through Dalmatian coast. Diverse experiences.","Long bus ride Zagreb to Split (6h). Dubrovnik very expensive and crowded in summer."
HR002,Croatia,Split Islands,single_country_multi_city,"Split,Hvar,Korcula",8,6,12,comfortable,medium,"5,6,7,8,9","10,11,12,1,2,3","beach,nature,food,nightlife",Southern Europe,"Island hopping from Split. Hvar for nightlife, Korcula for history.","Ferries less frequent off-season. Hvar very party-focused. Accommodation expensive in peak."
HR003,Croatia,Zagreb Nature,single_country_multi_city,"Zagreb,Plitvice,Zadar",6,5,9,moderate,medium,"5,6,9,10","7,8,12,1,2","nature,city,photography,hiking",Southern Europe,"Zagreb city plus Plitvice lakes and coastal Zadar. Nature focus.","Plitvice requires early start and full day. Can be crowded. Best in spring or autumn."
SI001,Slovenia,Ljubljana Bled Combo,single_country_multi_city,"Ljubljana,Bled,Postojna",5,4,8,moderate,low,"5,6,9,10","12,1,2","city,nature,photography,caves",Southern Europe,"Compact Slovenia highlights. Easy distances, low fatigue.","Bled very touristy. Consider staying in Ljubljana and day-tripping. Postojna cave tour is 1.5h."
SI002,Slovenia,Ljubljana Coast,single_country_multi_city,"Ljubljana,Bled,Piran",6,5,9,moderate,medium,"5,6,7,8,9","12,1,2","city,nature,beach,food",Southern Europe,"Slovenia variety: capital, alpine lake, Adriatic coast.","Piran tiny with limited accommodation. Book early. Coast less impressive than Croatian."
SI003,Slovenia,Alpine Nature,single_country_multi_city,"Bled,Ljubljana,Postojna",5,4,8,moderate,low,"6,7,8,9","12,1,2,3","nature,hiking,photography,caves",Southern Europe,"Nature-focused Slovenia. Lakes, caves, mountains.","Hiking requires proper gear. Weather can change quickly in mountains."
RO001,Romania,Bucharest Transylvania,single_country_multi_city,"Bucharest,Brasov,Sibiu",8,6,12,budget,medium,"5,6,9,10","12,1,2","history,culture,nature,castles",Eastern Europe,"Romania highlights: capital, Dracula country, medieval Sibiu. Great value.","Trains slower than Western Europe. Bran Castle overrated but touristy. Rural areas less English."
RO002,Romania,Transylvania Loop,single_country_multi_city,"Brasov,Sibiu,Sighisoara",7,5,10,budget,medium,"5,6,9,10","12,1,2","history,medieval,culture,nature",Eastern Europe,"Medieval Transylvania circuit. Castles, fortified churches, Saxon heritage.","Best with car for flexibility. Public transport exists but slower. Sighisoara small, 1-2 nights enough."
RO003,Romania,Bucharest Cluj,single_country_multi_city,"Bucharest,Brasov,Cluj-Napoca",9,7,14,budget,medium,"4,5,6,9,10","12,1,2","city,culture,history,nightlife",Eastern Europe,"Romania's two major cities plus Transylvania. Urban and rural mix.","Long distances. Night train Bucharest-Cluj option. Cluj younger vibe than Bucharest."
GE001,Georgia,Tbilisi Batumi,single_country_multi_city,"Tbilisi,Mtskheta,Batumi",8,6,12,budget,medium,"5,6,7,8,9","12,1,2","city,food,wine,beach",Caucasus,"Georgia highlights: capital, ancient churches, Black Sea. Unique culture and cuisine.","Visa-free for most. Language barrier outside Tbilisi. Batumi modern resort, not traditional."
GE002,Georgia,Tbilisi Mountains,single_country_multi_city,"Tbilisi,Mtskheta,Kazbegi",7,5,10,budget,medium,"6,7,8,9","12,1,2,3","nature,hiking,culture,mountains",Caucasus,"Georgia mountain route. Tbilisi base, ancient Mtskheta, dramatic Kazbegi.","Kazbegi requires 4x4 or good weather. Mountain roads can be challenging. Altitude consideration."
GE003,Georgia,Tbilisi Wine Route,single_country_one_city,"Tbilisi,Mtskheta",5,4,8,budget,low,"5,6,9,10","12,1,2","wine,food,culture,history",Caucasus,"Tbilisi-based wine region exploration. Kakheti day trips. Low fatigue.","Wine tours require booking. Traditional qvevri wine unique taste. Toasting culture intense."
AT001,Austria,Vienna Salzburg,single_country_multi_city,"Vienna,Salzburg,Hallstatt",8,6,12,comfortable,medium,"5,6,9,10","7,8,12,1","city,history,music,nature",Central Europe,"Classic Austria: imperial Vienna, Mozart's Salzburg, alpine Hallstatt.","Expensive country. Hallstatt tiny and over-touristed. Consider day trip from Salzburg."
AT002,Austria,Vienna Innsbruck,single_country_multi_city,"Vienna,Salzburg,Innsbruck",9,7,14,comfortable,medium,"6,7,8,9,12,1","11","city,nature,mountains,culture",Central Europe,"Austria east to west. Cities and Alps. Winter option for Christmas markets or skiing.","Long distances. Innsbruck ski resort expensive. Summer hiking also excellent."
AT003,Austria,Vienna Day Trips,single_country_one_city,"Vienna,Salzburg",6,5,10,comfortable,low,"4,5,6,9,10,12","7,8","city,history,music,culture",Central Europe,"Vienna base with Salzburg day trip or overnight. Low fatigue, high culture.","Vienna expensive. Museums require full days. Christmas markets November-December."
HU001,Hungary,Budapest Eger,single_country_multi_city,"Budapest,Eger,Pécs",8,6,12,budget,medium,"4,5,6,9,10","7,8","city,history,wine,culture",Central Europe,"Hungary beyond Budapest. Wine region Eger, southern Pécs. Great value.","Pécs far south (3h from Budapest). Consider skipping if time limited. Eger wine cellars fun."
HU002,Hungary,Budapest Balaton,single_country_multi_city,"Budapest,Lake Balaton,Eger",7,5,10,budget,low,"6,7,8,9","12,1,2,3","city,nature,beach,wine",Central Europe,"Budapest plus lake resort and wine country. Summer beach option.","Balaton very local tourism. Not sea. Eger better for wine than Balaton region."
HU003,Hungary,Budapest Base,single_country_one_city,"Budapest,Eger",5,4,8,budget,low,"3,4,5,6,9,10,12","7,8","city,history,culture,food",Central Europe,"Budapest focus with optional Eger day trip. Thermal baths, ruin bars, history.","Budapest very affordable. Thermal baths essential. Ruin bars in Jewish Quarter."
CZ001,Czech Republic,Prague Cesky Krumlov,single_country_multi_city,"Prague,Cesky Krumlov,Brno",7,5,10,moderate,medium,"5,6,9,10","7,8,12","city,history,beer,culture",Central Europe,"Czech highlights: Prague castle, medieval Cesky Krumlov, modern Brno.","Cesky Krumlov tiny, 1-2 nights max. Very touristy. Brno underrated, good food scene."
CZ002,Czech Republic,Prague Spa Towns,single_country_multi_city,"Prague,Karlovy Vary,Cesky Krumlov",8,6,12,moderate,medium,"5,6,9,10,12","7,8","city,history,spa,culture",Central Europe,"Prague plus spa town and medieval gem. Mix of city and relaxation.","Karlovy Vary spa treatments optional. Beautiful architecture. Film festival in July."
CZ003,Czech Republic,Prague Focus,single_country_one_city,"Prague,Karlovy Vary",5,4,8,moderate,low,"4,5,6,9,10,12","7,8","city,history,beer,culture",Central Europe,"Prague deep dive with spa town day trip. Low fatigue, high culture.","Prague extremely touristy. Stay outside Old Town for better value. Beer culture essential."
CY001,Cyprus,Nicosia Paphos,single_country_multi_city,"Nicosia,Paphos,Limassol",7,5,10,moderate,low,"4,5,6,9,10","7,8","history,beach,archaeology,food",Southern Europe,"Cyprus highlights: divided capital, ancient Paphos, coastal Limassol.","Car essential. Driving on left (British influence). Very hot in summer. Beach season long."
CY002,Cyprus,Coastal Route,single_country_multi_city,"Paphos,Limassol,Larnaca",6,5,9,moderate,low,"5,6,9,10","7,8","beach,food,relaxation,history",Southern Europe,"Cyprus coast circuit. Beach resorts and archaeology. Relaxed pace.","Resort-heavy. Less authentic than mainland Greece. Good for beach and history combo."
CY003,Cyprus,Paphos Base,single_country_one_city,"Paphos,Limassol",5,4,8,moderate,low,"4,5,6,9,10,11","7,8","beach,archaeology,food,relaxation",Southern Europe,"Paphos base with day trips. Archaeological sites, beaches, wine villages.","Paphos airport small but international. Car rental recommended. Akamas Peninsula beautiful."
AL001,Albania,Tirana Berat South,single_country_multi_city,"Tirana,Berat,Saranda",8,6,12,budget,medium,"5,6,7,8,9","12,1,2","history,beach,culture,nature",Southern Europe,"Albania highlights: colorful capital, UNESCO Berat, Riviera beaches.","Infrastructure improving but basic. Cash needed outside cities. Albanian Riviera stunning value."
AL002,Albania,UNESCO Route,single_country_multi_city,"Tirana,Berat,Gjirokaster",7,5,10,budget,medium,"5,6,9,10","12,1,2,7,8","history,culture,old_town,photography",Southern Europe,"Albania's two UNESCO cities plus capital. Ottoman and communist heritage.","Roads improving. Gjirokaster stone city unique. Very affordable. Limited English outside Tirana."
AL003,Albania,Tirana Riviera,single_country_multi_city,"Tirana,Berat,Saranda",8,6,12,budget,medium,"6,7,8,9","10,11,12,1,2","beach,history,food,nature",Southern Europe,"Albania capital, UNESCO city, and beach coast. Budget alternative to Croatia/Greece.","Saranda near Greek border. Ksamil beaches beautiful. Very budget-friendly. Cash culture."
MC001,Austria-Hungary-Czech Republic,Vienna Budapest Prague,multi_country,"Vienna,Budapest,Prague",10,8,14,comfortable,medium,"4,5,6,9,10","7,8,12,1","city,history,culture,architecture",Central Europe,"Classic Central Europe triangle. Three imperial capitals with excellent train connections. Perfect introduction to the region.","Long train rides (3-4h each). Prague very touristy. Book accommodation early. Consider night train Vienna-Prague."
MC002,Austria-Slovakia-Hungary,Vienna Bratislava Budapest,multi_country,"Vienna,Bratislava,Budapest",9,7,12,moderate,medium,"4,5,6,9,10","7,8,12,1","city,history,culture,food",Central Europe,"Danube capitals route. Bratislava often skipped but charming. Efficient connections. Great value in Bratislava and Budapest.","Bratislava small (1-2 nights enough). Vienna expensive. Budapest thermal baths essential. River cruises available."
MC003,Croatia-Slovenia,Zagreb Ljubljana Bled,multi_country,"Zagreb,Ljubljana,Bled",8,6,12,moderate,medium,"5,6,9,10","7,8,12,1,2","city,nature,photography,culture",Southern Europe,"Balkan capitals and alpine beauty. Easy distances. Mix of urban and nature. Underrated route.","Bled very touristy. Consider Bohinj alternative. Ljubljana compact (2-3 nights). Zagreb underrated."
MC004,Croatia-Montenegro-Albania,Dubrovnik Kotor Tirana,multi_country,"Dubrovnik,Kotor,Tirana",10,8,14,moderate,high,"5,6,9,10","7,8,12,1","beach,history,culture,nature",Southern Europe,"Adriatic coast adventure. Dubrovnik walls, Kotor fjord, Albanian Riviera. Stunning scenery but challenging logistics.","Border crossings add time. Dubrovnik very expensive. Kotor cruise ship crowds. Tirana requires bus (6h from Kotor)."
MC005,Slovenia-Croatia,Ljubljana Zagreb Split,multi_country,"Ljubljana,Zagreb,Plitvice,Split",11,9,14,moderate,high,"5,6,9,10","7,8,12,1","nature,city,beach,photography",Southern Europe,"Slovenia to Dalmatian coast. Plitvice lakes highlight. Long route with diverse experiences.","Plitvice requires full day. Long bus Zagreb-Split (6h). Split base for islands. High fatigue route."
MC006,Hungary-Austria,Budapest Vienna,multi_country,"Budapest,Vienna",7,5,10,comfortable,low,"4,5,6,9,10,12","7,8","city,history,music,culture",Central Europe,"Two imperial capitals. Easy 3h train. Perfect pairing of affordability (Budapest) and elegance (Vienna).","Vienna expensive. Budapest very affordable. Christmas markets excellent in both. Consider 3-4 nights each."
MC007,Czech Republic-Austria,Prague Vienna,multi_country,"Prague,Vienna",8,6,12,comfortable,medium,"4,5,6,9,10,12","7,8","city,history,music,culture",Central Europe,"Prague castle to Vienna palaces. 4h train connection. Two of Europe's most beautiful capitals.","Both very touristy. Prague cheaper. Vienna museums world-class. Consider Cesky Krumlov stop between."
MC008,Romania-Bulgaria,Bucharest Plovdiv Sofia,multi_country,"Bucharest,Plovdiv,Sofia",10,8,14,budget,medium,"5,6,9,10","12,1,2,7,8","history,culture,city,mountains",Eastern Europe,"Balkan capitals route. Excellent value. Plovdiv ancient Roman theater. Sofia mountain backdrop. Less touristy.","Border crossing adds time. Trains slower. English less common. Very affordable. Plovdiv European Capital of Culture 2019."
MC009,Slovenia-Croatia-Bosnia,Ljubljana Zagreb Sarajevo,multi_country,"Ljubljana,Zagreb,Plitvice,Sarajevo",12,10,16,moderate,high,"5,6,9,10","12,1,2,7,8","history,culture,nature,city",Southern Europe,"Ambitious Balkan route. Plitvice lakes, Sarajevo's complex history. Diverse cultures and religions.","Long distances. Sarajevo 6h from Zagreb. Border crossings. Sarajevo fascinating but requires sensitivity. High fatigue."
MC010,Hungary-Romania,Budapest Brasov Bucharest,multi_country,"Budapest,Brasov,Bucharest",11,9,14,budget,medium,"5,6,9,10","12,1,2,7,8","city,history,castles,culture",Eastern Europe,"Hungary to Transylvania to Romania capital. Dracula country. Great value. Diverse experiences.","Long train rides. Night train Budapest-Brasov option. Bran Castle touristy. Brasov charming base for castles."
JP001,Japan,Tokyo Kyoto Osaka Classic,single_country_multi_city,"Tokyo,Kyoto,Osaka,Nara",12,10,16,comfortable,medium,"3,4,10,11","7,8,12,1","history,food,city,culture,technology",East Asia,"Japan golden route. Imperial Kyoto temples, modern Tokyo, foodie Osaka, deer park Nara. Efficient Shinkansen connections.","Expensive country. Book months ahead for cherry blossom (March-April) or autumn (October-November). JR Pass essential."
JP002,Japan,Tokyo Modern,single_country_multi_city,"Tokyo,Nikko,Kamakura",8,7,12,comfortable,low,"3,4,5,10,11","7,8","city,technology,food,culture",East Asia,"Tokyo deep dive with day trips to shrines and giant Buddha. Low logistics fatigue.","Tokyo extremely expensive. Book hotels early. Akihabara, Shibuya, Shinjuku all distinct neighborhoods."
JP003,Japan,Kyoto Osaka Hiroshima,single_country_multi_city,"Kyoto,Osaka,Hiroshima,Miyajima",9,7,12,comfortable,medium,"3,4,10,11","7,8","history,culture,food,peace",East Asia,"Western Japan culture route. UNESCO temples, Hiroshima Peace Memorial, floating torii gate.","Hiroshima emotionally heavy. Miyajima requires early morning. Osaka nightlife excellent."
TR001,Turkey,Istanbul Cappadocia Ephesus,single_country_multi_city,"Istanbul,Cappadocia,Ephesus",10,8,14,moderate,medium,"4,5,6,9,10","7,8","history,culture,food,archaeology",Middle East,"Turkey highlights: Byzantine Istanbul, fairy chimneys Cappadocia, ancient Ephesus ruins.","Cappadocia requires domestic flight or overnight bus. Hot air balloon booking essential. Summer very hot inland."
TR002,Turkey,Istanbul Focus,single_country_one_city,"Istanbul,Bursa",6,5,9,moderate,low,"4,5,6,9,10","7,8","history,culture,food,architecture",Middle East,"Istanbul alone deserves a week. Hagia Sophia, Grand Bazaar, Bosphorus cruise, Bursa day trip.","Two continents one city. Asian side often overlooked. Taxis can overcharge tourists."
TR003,Turkey,Aegean Coast,single_country_multi_city,"Izmir,Ephesus,Bodrum,Pamukkale",9,7,12,moderate,medium,"5,6,9,10","7,8","beach,archaeology,nature,food",Middle East,"Turkey Aegean coast. Ancient ruins, thermal pools Pamukkale, Bodrum beaches.","Pamukkale requires overnight. Bodrum expensive in peak. Car helpful for coast."
MA001,Morocco,Marrakech Desert Fes,single_country_multi_city,"Marrakech,Merzouga,Fes",9,7,14,budget,high,"3,4,5,10,11","7,8","culture,history,nature,food,souks",North Africa,"Morocco imperial cities and Sahara desert. Marrakech medina, overnight camel trek, ancient Fes medina.","Sahara detour long. Fes medina easy to get lost. Haggling culture strong."
MA002,Morocco,Marrakech Atlas,single_country_multi_city,"Marrakech,Ouarzazate,Essaouira",8,6,12,budget,medium,"3,4,5,9,10","7,8","culture,nature,food,photography",North Africa,"Marrakech with Atlas mountain detour and Atlantic coast. Ait Benhaddou UNESCO fortress.","Marrakech heat extreme in summer. Essaouira windy but charming."
VN001,Vietnam,Hanoi Hoi An Ho Chi Minh,single_country_multi_city,"Hanoi,Ha Long Bay,Hoi An,Ho Chi Minh City",12,10,16,budget,high,"2,3,4,11,12","7,8","food,culture,history,nature,beach",Southeast Asia,"Vietnam classic north to south. Ha Long Bay UNESCO, ancient Hoi An, complex Ho Chi Minh history.","Long country needs domestic flights. Ha Long Bay boat trips variable quality. Very humid in summer."
VN002,Vietnam,Hanoi North,single_country_multi_city,"Hanoi,Ha Long Bay,Sapa",8,7,12,budget,medium,"10,11,2,3,4","7,8","nature,culture,food,trekking",Southeast Asia,"Northern Vietnam mountains and bay. Sapa rice terraces and hill tribe culture.","Sapa overnight train from Hanoi (8h). Ha Long Bay requires careful tour selection."
TH001,Thailand,Bangkok Chiang Mai Islands,single_country_multi_city,"Bangkok,Chiang Mai,Koh Samui",12,10,16,budget,medium,"11,12,1,2,3","6,7,8,9,10","city,beach,culture,food,nature",Southeast Asia,"Thailand highlights: Bangkok temples, Chiang Mai culture, southern islands. Excellent value.","Monsoon hits south June-October. Bangkok traffic intense. Islands crowded in peak."
TH002,Thailand,Bangkok Temples,single_country_multi_city,"Bangkok,Ayutthaya,Kanchanaburi",7,5,10,budget,low,"11,12,1,2,3","6,7,8","history,culture,food,city,temples",Southeast Asia,"Bangkok deep dive with ancient capital day trip and WWII bridge. Culture and history focus.","Bangkok very hot year-round. Temple dress code required."
KR001,South Korea,Seoul Busan Jeju,single_country_multi_city,"Seoul,Busan,Jeju Island",10,8,14,moderate,medium,"4,5,6,9,10","7,8","city,food,culture,nature,kpop",East Asia,"South Korea highlights: Seoul K-culture, Busan beaches, Jeju volcanic island.","Jeju requires domestic flight. Seoul excellent public transport. DMZ tour recommended."
KR002,South Korea,Seoul Focus,single_country_one_city,"Seoul,Gyeongju",7,5,10,moderate,low,"4,5,9,10","7,8","city,history,food,culture,kpop",East Asia,"Seoul deep dive with ancient Gyeongju day trip. UNESCO temples, palaces, modern K-culture.","Gyeongju worth overnight stay. Transport card essential."
JO001,Jordan,Petra Wadi Rum Dead Sea,single_country_multi_city,"Amman,Petra,Wadi Rum,Dead Sea",7,5,10,moderate,medium,"3,4,5,10,11","7,8","history,nature,archaeology,adventure",Middle East,"Jordan compact highlights. Rose-red Petra UNESCO, desert Wadi Rum, lowest point on earth.","Jordan Pass includes Petra entrance. Summer extremely hot. Petra requires full day."
IN001,India,Delhi Agra Jaipur,single_country_multi_city,"Delhi,Agra,Jaipur,Ranthambore",10,8,14,budget,high,"10,11,2,3","6,7,8,9","history,culture,food,nature,wildlife",South Asia,"India Golden Triangle plus tiger safari. Taj Mahal, Amber Fort, Jaipur Pink City.","India overwhelming for first-timers. Book trains weeks ahead. Water caution."
IN002,India,Mumbai Goa Kerala,single_country_multi_city,"Mumbai,Goa,Kochi,Backwaters",12,10,16,budget,medium,"11,12,1,2,3","6,7,8,9","beach,culture,food,nature,relaxation",South Asia,"India west coast and south. Mumbai, beach Goa, spice Kochi, houseboat backwaters.","Train recommended Mumbai-Goa. Kerala backwaters houseboat unforgettable. Monsoon June-September."
PE001,Peru,Lima Cusco Machu Picchu,single_country_multi_city,"Lima,Cusco,Machu Picchu,Sacred Valley",10,8,14,moderate,high,"5,6,7,8,9","12,1,2","history,nature,archaeology,hiking,culture",Americas,"Peru Inca empire. Lima food capital, Cusco altitude, Machu Picchu sunrise, Sacred Valley markets.","Altitude sickness risk in Cusco (3400m). Book Machu Picchu months ahead. Inca Trail permit 6 months ahead."
MX001,Mexico,Mexico City Oaxaca Yucatan,single_country_multi_city,"Mexico City,Oaxaca,Merida,Tulum",12,10,16,budget,medium,"11,12,1,2,3","7,8","history,food,culture,beach,archaeology",Americas,"Mexico diversity: Aztec ruins, colonial Oaxaca food, Mayan Yucatan, Caribbean beaches.","Domestic flights needed. Safety varies by region. Cenotes unmissable."
MX002,Mexico,Mexico City Oaxaca,single_country_multi_city,"Mexico City,Teotihuacan,Oaxaca",8,6,12,budget,low,"10,11,12,1,2,3","7,8","history,food,culture,archaeology",Americas,"Cultural Mexico. Aztec pyramids Teotihuacan, vibrant CDMX, UNESCO Oaxaca food and mezcal.","CDMX altitude (2200m). Oaxaca food scene among world best."
SG001,Singapore,Singapore Malaysia,multi_country,"Singapore,Kuala Lumpur,Penang",9,7,12,moderate,medium,"2,3,11,12","6,7","food,city,culture,nature,shopping",Southeast Asia,"Singapore efficiency and Malaysia diversity. Hawker food culture, Batu Caves, Penang street art.","Singapore expensive. KL very affordable. Short flights between cities."
CL001,Chile,Santiago Patagonia Atacama,single_country_multi_city,"Santiago,Torres del Paine,Atacama",14,12,18,comfortable,high,"11,12,1,2,3","6,7,8","nature,hiking,adventure,photography",Americas,"Chile extremes: driest desert north, dramatic Patagonia south. World-class trekking.","Domestic flights essential. Patagonia weather unpredictable. Book W-Trek months ahead."
AR001,Argentina,Buenos Aires Patagonia,single_country_multi_city,"Buenos Aires,El Calafate,Ushuaia",12,10,16,comfortable,high,"11,12,1,2","6,7,8","city,nature,culture,tango,adventure",Americas,"Argentina: tango Buenos Aires, Perito Moreno glacier, end-of-world Ushuaia.","BA to Patagonia flight required. Patagonia wind intense. Ushuaia flights expensive."
